127.0.0.1 - - [05/Aug/2017:13:09:57 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:09:59 +0530] "GET /BIKES/ HTTP/1.1" 200 2953
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:10:12 +0530] "GET /BIKES/pay HTTP/1.1" 500 13651
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:11:34 +0530] "GET /BIKES/pay HTTP/1.1" 500 13654
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:11:38 +0530] "GET /BIKES/pay HTTP/1.1" 500 13654
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:11:57 +0530] "GET /BIKES/pay HTTP/1.1" 500 13931
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:13:45 +0530] "GET /BIKES/pay HTTP/1.1" 500 13931
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:13:47 +0530] "GET /BIKES/pay HTTP/1.1" 500 13931
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:13:49 +0530] "GET /BIKES/pay HTTP/1.1" 500 13931
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:17:22 +0530] "GET /BIKES/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:17:52 +0530] "GET /BIKES/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:18:05 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:18:07 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:38 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:40 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:40 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:40 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:40 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:41 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:41 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:41 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:41 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:41 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Aug/2017:13:20:42 +0530] "GET /BIKES/all/pay HTTP/1.1" 404 992
